,QuestionNumber,Question,Url,Type
11,11,"possible side effect of coumadin? | yahoo answers | are higher blood pressure (about 20 points) and/or lower heart rate possible side effects od coumadin that anyone else knows about???  i know that lower blood pressure is possible.  if not, could it be a drug interaction.  my dad has atrial fibrillation and has been on coumadin for a couple of weeks and both...",https://answers.yahoo.com/question/index?qid=20080629121748AATmZmA,P
12,12,"what are the side effects of warfarin? | yahoo answers | my grandmother has tooken this and she get's real sick. i know she needs to take it, but what's the point when she get's so sick that she has to go to the hospital?",https://answers.yahoo.com/question/index?qid=20081009073135AAu7oVO,P
13,13,"coumadin (warfarin) question. is hair loss a ""common"" side effect of coumadin? | yahoo answers | also when it gets to high she feels kind of a heart burn ""like"" feeling. is this a symptom of high inr or just coincidence?       for all you insomniacs out there.",https://answers.yahoo.com/question/index?qid=20111209003717AAMkhom,P
14,14,"soothing a sore throat as a side effect of warfarin? | yahoo answers | i take warfarin every night. now and then my dosage is changed. when i have to take more than 5mg per night, the next morning i wake up and my throat hurts so bad its hard to talk actually. unfortunately, my doctor has decided i need to take 5 (or more) from now on. so, does anyone have home remedies (not...",https://answers.yahoo.com/question/index?qid=20081010151252AA98wxf,P
15,15,"side effects of contraceptive injection when taking warfarin? | yahoo answers | i am on warfarin for the next 6 months, i have recently had an emergancy copper coil fitted but as its causing so much pain and very heavy periods, i am thinking about going on the injection, are there any side effects known when taking warfarin? is it true the injection is likely to cause weight gain? bad skin?...",https://answers.yahoo.com/question/index?qid=20090919134802AANMhwc,P
16,16,what are the side effects of lipitor? | yahoo answers | i was just wondering what could be the possible side effects of lipitor.,https://answers.yahoo.com/question/index?qid=20130606063857AAyARwM,G
17,17,"ginkgo biloba side effects? | yahoo answers | hey guys, i’ve been taking ginkgold (ginkgo (ginkgo biloba) for a few days now and i’m feeling like all my senses have been enhance. i was wondering if this was normal or it was something else. also do you guys happen to know the side effects for this?",https://answers.yahoo.com/question/index?qid=20080525194305AALHo7P,P
18,18,side effects of acitrom tablet? | yahoo answers | i am using acitrom tablet for past few years. i need to know the side effects of the acitrom tablet. can you pls tell me? your information will be precious for me to survey.,https://answers.yahoo.com/question/index?qid=20100913215805AAPPM0I,P
19,19,warfarin 5mg tablets? how dangerous is it? | yahoo answers | my mother who is in her late 70s has been prescribed warfarin 5mg tablets. can anyone who also takes these/knows someone that does please give me a personal account on what the side effects are. thanks,https://answers.yahoo.com/question/index?qid=20120205100122AAwUgyI,P
20,20,"what are the long term side effects of omeprazole? | yahoo answers | i want to know about the long term side effects of the medicine, omeprazole.",https://answers.yahoo.com/question/index?qid=20070226213332AASTL0m,G
21,21,can anyone give me any of their side effects of the blood thinner cumundin? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20070414003827AAzUpDN,G
22,22,"question about ciprofloxacin and its side effects? | yahoo answers | hello! i have been prescribed to take ciprofloxacin 500 mg twice daily to treat my uti. today is my 5-th day taking this medicine,however i still feel pain and burning feeling when urinating. but what concerns me more, i started to sweat a loooooot (especially last night) also skin on my hands looks like it was...",https://answers.yahoo.com/question/index?qid=20090402170810AAi7YHu,P
23,23,what are the side effects of drinking on coumidin(warfarin)? | yahoo answers | i have to take blood thinners for the rest of my life.  i take (15mg) every day but sunday which is (10mg).  on top of that i drink alcohol some times heavily.  what are some of the side effectsof doing this?  i've experienced nothing.,https://answers.yahoo.com/question/index?qid=20080518225934AAsHByR,P
24,24,what are the side effects to paxil? | yahoo answers | my doctor put me on paxil for my anxiety and told me that it would help me with depression as well. i don't think i'm depressed nor do i feel depressed (have been in the past) but do suffer from anxiety disorder. and today i took my first paxil pill and lots of stuff running through my head. i feel...,https://answers.yahoo.com/question/index?qid=20070206143341AA6kwB4,P
25,25,"antibiotics and side effects? | yahoo answers | the antibiotic azithromycin tabletes?hi, i went to the emergency room a few days ago in regards to pain i was having in my ear. they told me i got a really bad ear infection. i started to take this antibiotic called azithromycin tablets. the first day i took it wasn't so bad. but i woke up this morning with...",https://answers.yahoo.com/question/index?qid=20100715044246AA52Lic,P
26,26,does warfarin effect muscle growth? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20111212121904AA6u74s,G
27,27,"warfarin, does anyone have any experiences to share? | yahoo answers | hii am a 33 year old male, fit, ideal weight, non smoker and very occassional drinker. diet is healthy.i am just recovering from a dvt in my left calf, this follows a pe in 2006, the cause of which has never been diagnosed.i have now been perscribed warfarin for life but the information on the net and...",https://answers.yahoo.com/question/index?qid=20091026061556AANWVS5,P
28,28,side effects of acitrom tablet? | yahoo answers | i am using acitrom tablet for past few years. i need to know the side effects of the acitrom tablet. can you pls tell me? your information will be precious for me to survey.,https://answers.yahoo.com/question/index?qid=20100913215704AArwOSE,P
29,29,"side effects of discontinuing xarelto?please help!? | yahoo answers | my mom's doctor prescribed her xarelto as a blood thinner...but it is causing major bleeding in her gums....major... what are the side effects if she discontinues the medication? as i was researching on the web,i only see side effects for patients with  nonvalvular atrial fibrillation,and she does not have that....",https://answers.yahoo.com/question/index?qid=20130310182708AA5sxeq,P
30,30,does st.john's wort have any known side effects? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20060809113802AAYcMrx,G
31,31,"side effects of sulfamethoxazole-tmp ds tabitp? | yahoo answers | i've been taking this for nearly a day now, and to be honest i feel like more s.hit then i did before. i have cotton mouth and everything i eat tastes the same, like total garbage. not to mention i'm very thirsty always. however as much as i drink it won't make the taste or cotton mouth go away. ah, and...",https://answers.yahoo.com/question/index?qid=20090411190938AAiecIy,P
32,32,when should one take blood thinner tablet...clopigrel 75mg.what r the side effects? | yahoo answers | actually what is happening in human body after taking blood thinner medicines?,https://answers.yahoo.com/question/index?qid=20131223123526AAz1kZF,P
33,33,does daonil drug for diabetic patients have side effects and how efficeient is it? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20160330142342AAQIxyR,G
34,34,high levels of warfarin?(coumadin)? | yahoo answers | i am almost 23 and was put on warfarin because i got blood clots in my left leg and lungs.last year  (right lung got it worst) and i have been getting really bad brusing for about two weeks. i recently took a lab to check my warfarin levels and they are high. i want to know what an happen if they are too high and...,https://answers.yahoo.com/question/index?qid=20130526141327AARLseH,P
35,35,i have anxiety/panic attacks i been on zoloft for about 1 year i been on 50mg i began to have side effect? | yahoo answers | i reduced it to 25mg i have horrfic feelings its like im dying and i feel my blood is not moving and i feel like no more adrenaline in my body what they is going on please answer thanx,https://answers.yahoo.com/question/index?qid=20120421124446AADOV0u,P
36,36,what are the side effects of warfrin 3mg? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20091123143455AAXxiPr,G
37,37,"are there any side effects from taking celery seed infusions? | yahoo answers | my friend said to take celery seed tea for inflammation, but i don't know if there are any side effects.",https://answers.yahoo.com/question/index?qid=20060821191511AAIgFI4,P
38,38,what is propylthiourt ab50mg and what are the side effects? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20081210194938AAWzPWB,G
39,39,"warfarin muscle pain? | yahoo answers | hello. i've been taking warfarin(5mg) for almost a week now and for the passed couple nights i got horrible muscle pain,heart pain and skin color changed...(i never have any muscle pain before but i have irregular heartbeat because of graves disease).just wondering what is the reason causing the pain? side...",https://answers.yahoo.com/question/index?qid=20100904012725AAMLLqb,P
40,40,does warfarin cause weight gain? | yahoo answers | okay i am a 14yr old female and i am on coumadin for the rest of my life and i have been taking it for almost 2 and a 1/2 months and i am a perfect weight for my age and size i am 5'8 and 130.2 pounds(just went to the specialist yesterday) forgot to ask. but will it make me gain weight because i love my body...,https://answers.yahoo.com/question/index?qid=20090226064825AAQRuHI,P
41,41,how many different milligrams of coumadin are they? | yahoo answers | my mom is taking coumadin and is bruising horribly and bleeding fom her bowels & kidneys. the doctors are having ah hard time getting the right dosage for her. she has an irregular heartbeat. she is now taking 5 miligrams every other day. does coumadin come in lower dosages than 5mg. is this a side effect of coumadin?,https://answers.yahoo.com/question/index?qid=20080302180306AAZe15B,P
42,42,what are the real side effects of ginseng? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20120623075451AAhRVnO,G
43,43,is anyone taking warfarin for a blood clot in the lower legs. have been prescribed it by a doctor.? | yahoo answers | i have be given warfarin to take and heparin injections.this is all making me feel so nervous. what will i feel like when the blood thins and will it cure the blood clot? can anyone else who has had it help me? heard about so many side effects that frighten me.,https://answers.yahoo.com/question/index?qid=20110915150914AAqOpl9,P
44,44,"my inr level is kinda high, is that why i feel like this? | yahoo answers | i had a small blood clot in my lung and now i have to take coumadin for the next 6 months. i have only been on it for about 3 weeks now. i had my inr checked on monday and it came back at 3.9 when i was told it should be maintained between 2-3. i have kept taking my medicine as my doctor said i should but i feel...",https://answers.yahoo.com/question/index?qid=20110322204808AAa3cIG,P
45,45,natural alternatives to warfarin? | yahoo answers | i was diagnosed with dvt & am now taking warfarin. i am having terrible side effects to this medication and want to know if there are any natural alternatives which i could take instead.,https://answers.yahoo.com/question/index?qid=20090513194530AA5oEhd,P
46,46,"what are the long term effects of coumadin? how many years can a person be on it safely? | yahoo answers | coumadin, generic form: warfarin, is a medicine to thin blood following heart valve replacement.",https://answers.yahoo.com/question/index?qid=20090730104539AAANqXT,G
47,47,"uk only: i may have to start taking warfarin. if so do i have to inform dvla and my insurance company? | yahoo answers | uk only: i may have to start takng warfarin, to treat atrial fibrillation .  if so do i have to inform dvla and my insurance company?",https://answers.yahoo.com/question/index?qid=20130511081502AAwvQA0,P
48,48,"warfarin/cumoudin makes my grandmother sick.? | yahoo answers | everytime she takes those bloodthinners, she gets sick. she starts having migraines, which makes her vomit uncontrollably. i'm living with her because i was having problems at home with my mother (in michigan). i'm seriously contemplating going back to my mother because i just can't deal with my grandmother being...",https://answers.yahoo.com/question/index?qid=20081205203930AAYzkgr,P
49,49,"how long does it take for coumadin (warfarin) to make your hair fall out? | yahoo answers | i've already been bald from chemo once. i am really frustrated i'm going to lose my hair again.  none of my doctors will give me an answer, my pharmacist said i probably wouldn't lose hair.  i'm totally paranoid and upset and obsess over whether or not hair is coming out, or if it looks dry, or if...",https://answers.yahoo.com/question/index?qid=20091207130353AA9tWDE,P
50,50,i have been taking warfarin x6 years and have gained 30 lbs.  is this common? also have hair loss. heart valve | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20080214100321AAXUVsH,P
51,51,what are the side effects of cumadin? | yahoo answers | i have been on cumadin for 13 years sense i was 6 months old it was never causing me issues but for the last 3 weeks i started to get a sharp pain in my right shoulder shoulder blade and upper arm i also got a rash itchy on both of my forearms stomach pains are thes from the meds or not cause it a pretty close quince,https://answers.yahoo.com/question/index?qid=20120112144159AAqq30p,P
52,52,"does warfarin/coumadin make you tired? | yahoo answers | back in june i was hospitalized with a blood clot in my lung. my dr. put me on warfarin/coumadin, 9 mg per day. i have a blood test once a month, my inr level is usually between 2.5 and 3.0, which is normal. as soon as this happened he took me off of premarin, which i had been on for 12 years following a...",https://answers.yahoo.com/question/index?qid=20081023222628AAIxcZD,P
53,53,husband stops taking warfarin (without doctor's advice)? | yahoo answers | my husband(32 years)is on warfarin since 5 years but last year a relative died because her blood was too thin .she was 70 years.now my hubby do not takes his warfarin regularly.he pretends that it has many side effects and that his blood may become too thin.he don't go for his  inr test regularly and stops his...,https://answers.yahoo.com/question/index?qid=20081016020518AAlTOP0,P
54,54,"dosages of warfarin,aspirine and ticlopidine? | yahoo answers | i need the dosages for my assignement as a dental assistant,i cannot find anything on this.need yor help,pleae!",https://answers.yahoo.com/question/index?qid=20070113124942AA12KpR,G
55,55,"health question regarding stomach and legs? | yahoo answers | my friend has to give herself a needle in her stomach because she is prone to blood clots and this needle helps to control this. now, she has begun to notice a lump forming on her stomach that is getting bigger and is turning a yellowish color. at the same time, one of her legs is bruising and turning into a rash....",https://answers.yahoo.com/question/index?qid=20071020184325AAUPckB,P
56,56,amiodarone for controlling atrial fibrillation? | yahoo answers | my doctor decided to fully load me with amio after just 9 episodes of afib. since 2005. i didn't question it until i read about all of the serious side effects that can happen. i then saw him again and told him i wanted off of amio. stopped the amio in feb. 2007. he then put me on digoxen.....nasty med for me....,https://answers.yahoo.com/question/index?qid=20070731215649AA6kC6A,P
57,57,"i am currently on warfarin for a blood clot disorder. anyone know about the progress on replacements? | yahoo answers | i know a new anticoagulant called xarelto is being developed, but would this be a replacement for warfarin? anyone know when this will be marketed and sold in the us?",https://answers.yahoo.com/question/index?qid=20080920141611AAVWxea,P
58,58,acid blockers 4 acid reflux? | yahoo answers | i get a lot of acid reflux and i take otc acid blockers for it.  do these have any side effects with your stomach.  i don't have insurance to see the dr or get a prescription.,https://answers.yahoo.com/question/index?qid=20080818121617AA71Arq,P
59,59,"rat poison (warfarin) info? | yahoo answers | i'm am a mcmaster med student and i am looking for opinions from people who know what they're talking about. i am doing a project on warfarin, working on the section of rat poison ingestion right now. i have some questions. i've looked in the text books but i always like to hear from other people who...",https://answers.yahoo.com/question/index?qid=20100918134140AAJkvQh,P
60,60,i haven't read it anywhere but does anyone know of daily-heavy nose bleeds as a side effect of taking lipitor? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20060621210754AAYxc2L,P
61,61,has anyone tried st. john's wort for anxiety and panic attacks? | yahoo answers | side effects? good effects? dosage? cautions?,https://answers.yahoo.com/question/index?qid=20081229134829AAqaIxe,P
62,62,birth control for too long? | yahoo answers | i've been on b.c. for almost 10 yrs and like most women i got on it to help with my (heavy) periods. i've been doing research the harm it can do or side effect for being on it to long. i'm 23 yrs old and have been with my boyfriend for 4 yrs and with talking about our future with having kids i just want...,https://answers.yahoo.com/question/index?qid=20111126112629AACw7YE,P
63,63,"i take pristiq, 50 mg.can you add 20mg of cymbalta to address worsening anxiety side effect of the pristiq? | yahoo answers | no-question",https://answers.yahoo.com/question/index?qid=20091108225027AAiTqJ4,P
64,64,"effects of an ear piercing while on coumadin(warfarin)? | yahoo answers | i was just wondering what could happen to me if i went and got my ears pierced while i was on the drug coumadin (warfarin). the only risk i can see is bleeding, but when watching my friends get it done there seems to be little to no blood, though im not medically trained so im wondering what other side effects...",https://answers.yahoo.com/question/index?qid=20090124140247AAqoRD7,P
65,65,does anyone know what the drug procrit is used to treat? | yahoo answers | my mother is severely anemic and her dr. has prescribed 3 injections of procrit.  i was wondering if any of you had knowledge about it or have taken it and if so what side effects did you have?,https://answers.yahoo.com/question/index?qid=20070605190535AAkjPQc,P
66,66,"what are the most effective drugs in treating type 2 diabetes? | yahoo answers | i know some drugs used to treat type 2 dm may have some bad side effects like heart failure and are not too safe, but besides side effects which ones are the most effective?",https://answers.yahoo.com/question/index?qid=20090312170041AAY2fwO,P
67,67,can i drink warfarin and nitrufoni together? | yahoo answers | im just paranoid since ive been drinking alot of medication im on omeprazole for acid reflux im on nitrufoni for a uti and warfarin for a past p.e and well i also have to take meclazine and adavan when needed i know warfarin n omeprazole have some interaction n well im afraid to take the wrfarin and nitrufoni since...,https://answers.yahoo.com/question/index?qid=20140701225856AAfAhYx,P
68,68,"i need an alternative to dilantin,which would be the best,with the least side effects? | yahoo answers | it must be something that goes well with phenobarbitol. also any other websites of assistance would be most helpful. thanks",https://answers.yahoo.com/question/index?qid=20071228202447AAp75vg,P
69,69,"how many people report hair loss using warfarin? | yahoo answers | i,m starting to take warfarin 3mg one time a day .. how high is the risk for hair loss using 3mg dose one time a day ?",https://answers.yahoo.com/question/index?qid=20110414023102AAeug3y,P
70,70,"what are the effects of rat poision on humans? | yahoo answers | my fiance is in the military and the water on their base was poisoned with rat poision. he is recieving treatment but we are not getting much information. the only side effects i know of are nausua, diahrea, and the blood becomes thinner. are there any other short term or long term effects?",https://answers.yahoo.com/question/index?qid=20100622170531AAZyX6u,P
71,71,"is anyone familiar with the medication ""mitotane""? | yahoo answers | if so, do you know of any possible side effects that this medication may cause? thank you",https://answers.yahoo.com/question/index?qid=20070825201316AArs18n,P
72,72,information on this drug? | yahoo answers | belladonna phenobarb elixir (liquid form) i need the basic information. side effects? how strong is it? can it be addicting? is it a narcotic? what exactly does it do?,https://answers.yahoo.com/question/index?qid=20081004085106AAvNzQB,G
73,73,"how much st. johns wart should i take? | yahoo answers | i got a bottle of st johns wart. made by finest natural. i bought it at walgreens.it is 300mg tablets.it says ""take 3 tablets each day""im guessing that means at 3 different times right?how long does it take for this stuff to work?i thought it might help my anxiety, so id give it a try.do i have to...",https://answers.yahoo.com/question/index?qid=20081103200346AA0xcK0,P
74,74,"dizzy during period in the summer (plus prescription meds)? | yahoo answers | i have type 1 diabetes (since nov. 2003) and lupus (since july 2006),  and during the summer last year i would get dizzy during the first day or 2 of my period each month.  at the time i was on 2 different types of insulin for my diabetes (still am on both insulins), and was on cellcept, 2 blood pressure meds, and...",https://answers.yahoo.com/question/index?qid=20080420144449AAIbFbU,P
75,75,"how to deal with major blood loss during period? | yahoo answers | i'm 20 years old, and ever since i was 13 - iwould lose a lot of blood during my period. at 16, i started taking birth control because of the pain, and then i stopped. but for the past few months, my periods have gotten worse. and i lose a major amount of blood. (i can go through about 1 super tampon in 2hrs or...",https://answers.yahoo.com/question/index?qid=20081112122040AA2TDOl,P
76,76,"coumadin (warfarin) questions...? | yahoo answers | i am 33 and taking coumadin (warfarin) because i had a pulmonary embolism following a c-section 14 months ago.  i was told it was caused by a folic acid deficiency (although i think it had more to do with the 2 days before the c-section i had 2 failed inductions, and was told to stay in bed all day, rather than...",https://answers.yahoo.com/question/index?qid=20070627090849AAk0udz,P
77,77,i had a pe and dvt 13 months ago and was put on warfarin 9.5mg daily.? | yahoo answers | i have been taking this med for about 13 months and was told by my doctor to stop taking this med as of today.  does anyone know what side effects may occur?,https://answers.yahoo.com/question/index?qid=20120224181942AAYDNNY,P
78,78,hair loss from taking warfarin? | yahoo answers | have been on 5 mg's daily for about 2 mos. and over past 3 weeks have noticed dramatic hair loss.  will it stop before i end up bald? anyone else have this experience? remedy?,https://answers.yahoo.com/question/index?qid=20110617193837AAUnPI5,P
79,79,"ginkgo biloba safe with soda? | yahoo answers | i was wondering if it is safe to take ginkgo biloba with soda, pepsi to be more specific. thanks for the input.  no stupid answers please, thanks",https://answers.yahoo.com/question/index?qid=20090517200958AATxKYE,P
80,80,about cordaron(amiodaron)..? | yahoo answers | 1.what's side effect  2.does it b.bl? ca.ch.bl? or which blocker? 3.does it alpha or beta blocker? or both or niether one? 4.what is it effect on digoxin & warfarin?,https://answers.yahoo.com/question/index?qid=20080701142514AAwuK9E,P
81,81,can deep vein thrombosis cause constipation? | yahoo answers | will treatment with warfarin contribute to constipation,https://answers.yahoo.com/question/index?qid=20061002181659AAFjW6P,G
82,82,"doctor has prescribed me doxycycline and metronidazole antibiotics, since taking them i have felt very sick...? | yahoo answers | i am taking 2x 100mg of doxycycline a day, and 2x metronidazole a day. it's a 14 day course. the doctor suspects i may have a pelvic infection and is prescribing these as a precaution before i have further tests. i was just wondering if anyone else has experienced these side effects, as i have been feeling...",https://answers.yahoo.com/question/index?qid=20080913074748AAnk6bY,P
83,83,i have anixety but i cant take any anti depressents because they make me feel funny and i havennt been the sam? | yahoo answers | i was just told in january that i suffer from panic attacks and anixety i tryed zoloft and celexa they was horrible i havent been the same since i need help and i cant find help please can someone help me,https://answers.yahoo.com/question/index?qid=20110422204016AAnpCIV,P
84,84,"boxing while taking warfarin (coumadin)? | yahoo answers | i was recently diagnosed with a third blod clot (dvt) within a year, so it looks like i'll be on coumadin for the rest of my life.i am an avid amateur boxer.i'm afraid i already know the answer to this question, but has anyone heard of people boxing while taking coumadin?  thanks in advance for...",https://answers.yahoo.com/question/index?qid=20091111081253AAPr43Q,P
85,85,"danshen chinese medicine - what do you know about it? | yahoo answers | please if you can tell me something about chinese medicine danshen, is it really effective chinese medicine? i heard it is for cleaning the blood. has danshen any precautions or side effects?  many thanks",https://answers.yahoo.com/question/index?qid=20090915095102AAfojD9,P
86,86,"nurses, doctors etc -help!- birth control and anticoagulant question? | yahoo answers | i know it's long, but please bear with me!a little over a month ago i was diagnosed with multiple pes in both lungs and hospitalized. the doctors kind of freaked out, they showed me my v/q exam and it looked really bad. i'm 21, healthy weight, i don't smoke. i was on the birth control pill (ortho tricyclen lo)...",https://answers.yahoo.com/question/index?qid=20081208215706AApLzfa,P
87,87,easy ten points!!!.................? | yahoo answers | tell me what you know about prozac.what are the usual side effects and what to watch out for.do i have to take it with food?how did you feel during the first week that you were taking it?,https://answers.yahoo.com/question/index?qid=20090101174423AArUAZF,P
88,88,does taking panadol at the same time as viagra cancell out the viagra? | yahoo answers | i have to take viagra due to a operation in that region but one of the side effects of taking viagra is headaches when i first used the viagra mr big was rock solid but after that i started taking panadol tabs at the same time that i would take the viagra tab to try to prevent the headaches but i noticed that the...,https://answers.yahoo.com/question/index?qid=20090707053234AAP3oe4,P
89,89,what things shouldnt i eat when i take warfarin? | yahoo answers | which in particular,https://answers.yahoo.com/question/index?qid=20090314114931AAAdlDc,P
90,90,is anyone one on warfarin from pergnancy and having to always go up on meds? | yahoo answers | i had a baby and got a clot in my leg. i was on 6 mg and now 9mgs. keeps going up . can it be from plan b pill . i took it once and then my periond came and my levels were down. also it seems i'm having blurred vision in one eye and it seems like i can hear the blood traveling in my neck. lol and i feel like...,https://answers.yahoo.com/question/index?qid=20101214153722AAcCpuL,P
91,91,i take warfarin.  i have a metallic taste in my mouth.  this is new.? | yahoo answers | i take warfarin (coumadin) every day and have for over two years.  within the last four days i began having a strong metallic taste in my mouth.  i asked a nurse and she said she thought it was a side effect listed for coumadin.i looked up coumadin and there was nothing stated about this weird taste.  it is...,https://answers.yahoo.com/question/index?qid=20070918191144AAKXBHf,P
92,92,is 500mg of disulfiram (antibuse) way too much to be started off on? | yahoo answers | i've been taking antibuse for 2weeks now and jesus christ i sleep like an all day fragle rock episode. whats even scarier is the fact that i will be awake (or my eyes will be wide open) and i still cant move. i can hear everything going on around me and i still can't get up. my parents say i've been...,https://answers.yahoo.com/question/index?qid=20130801152239AAyFy2b,P
93,93,my mother needs her blood thinner whats the best thing to use? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20120516143232AAveaQx,P
94,94,holistic approach to depression? | yahoo answers | does anyone know of any natural ways to treat depression?  i have tried so many different drugs......thanks!     karen!,https://answers.yahoo.com/question/index?qid=20080405125529AAX71np,P
95,95,"could responses or sensitivity to certain medications be shared by genetically related persons (description) ? | yahoo answers | my mom was treated for post-partum depression after i was born and given zoloft — her miracle drug, from what i hear. i've been on zoloft now for major depression for ~6 months after trying a few other meds that gave no positive results, but on zoloft there has been increasing noticeable improvement. in the...",https://answers.yahoo.com/question/index?qid=20120319192617AAwRY47,P
96,96,what is coumadin with contrident used for? | yahoo answers | plesde tell me about coumadin with contrident,https://answers.yahoo.com/question/index?qid=20081228163159AA7YfQN,P
97,97,what are the adverse effects of ginkgo biloba ? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20070403112413AAGx0FY,G
98,98,wafarin and joint pain? | yahoo answers | my 45 year old brother has been on warfarin since febuary for af. two weeks after commencing warfarin he started with severe hip pain and pain in his leg at the front and side. right leg). he had a cardioversion last friday and went back into sinus rythm on the first attempt. friday evening he was back in a/e with...,https://answers.yahoo.com/question/index?qid=20100702103214AAf0r7K,P
99,99,"how could i have contracted an e-coli infection? im taking bactrim? | yahoo answers | hi, i was at my obgyn recently for a checkup and he took a urine sample to check for a bladder or urinary tract infection. a few days later i was told i had an e-coli infection and was given a 10 day course of bactrim antibiotics. (im about 5 days in) any idea how one gets an e-coli infection? my only thought...",https://answers.yahoo.com/question/index?qid=20071127210546AAc2yhK,P
100,100,"welltabs advertised on television? | yahoo answers | has anyone taken them? i haven't read any realistic testimonies on google. what are the ingredients, risks, side-effects, positive results.........ect?  gimmi the deets :)",https://answers.yahoo.com/question/index?qid=20110831215253AACOZZZ,P
101,101,"i take 10mgs warfarin everyother day with odd days,7.5mgs? | yahoo answers | i may have not took my 10mgs wrote down i did..my wife said i had it out..but 1 in my daily pill container..my inr sunday was 3.5...if i didn't take it what would my inr drop to?? 3.5 is thin anyways..i just had a ivc filter put in my venous cava 2 weeks ago..and knee sugery was  past 27th..",https://answers.yahoo.com/question/index?qid=20130702094054AAHW06b,P
102,102,"husband had heart surgery year ago is on warfarin for life, cant keep an erection ejaculates quickly ? | yahoo answers | no-question",https://answers.yahoo.com/question/index?qid=20100605132813AAsAXZA,P
103,103,what is diference between flomax and advodart? | yahoo answers | i am 56 and have been having trouble with irregular stream. which is better for me? no ins.,https://answers.yahoo.com/question/index?qid=20080227130554AA3YkbY,P
104,104,"medicine like digoxin,atenolol,warfarin,(fur… hci)safe during pregnancy for mvr heart petient? | yahoo answers | this question is for my wife she is taking these medicine since opration.now she is pregnant and still using these medicine now she need to know that is there any alternative options if any of these medicine is not good during pregnancy for her or her baby's health.she use to check pt-inr test after every month...",https://answers.yahoo.com/question/index?qid=20090830124825AA7soCg,P
105,105,help with weird feelings? | yahoo answers | ive been having feelings all the time like im not all there. i feel like im watching my life happen through a 3rd person perspective. ive been having these feelings since i was diagnosted with blood clots in my lungs and started taking warfarin. i feel a almost dizzy feeling like im gonna pass out and i grab...,https://answers.yahoo.com/question/index?qid=20071101011618AAuTrQl,P
106,106,if i took some nattokinase will it clear my dvt and how long would it take? | yahoo answers | is there any side effects?,https://answers.yahoo.com/question/index?qid=20130220183729AAHrbx7,P
