                                                                                                                                                                                                                                                                                                                                                                                                                                                           Question
75                                                                   how to deal with major blood loss during period? | yahoo answers | i'm 20 years old, and ever since i was 13 - iwould lose a lot of blood during my period. at 16, i started taking birth control because of the pain, and then i stopped. but for the past few months, my periods have gotten worse. and i lose a major amount of blood. (i can go through about 1 super tampon in 2hrs or...
76                                                                                  coumadin (warfarin) questions...? | yahoo answers | i am 33 and taking coumadin (warfarin) because i had a pulmonary embolism following a c-section 14 months ago.  i was told it was caused by a folic acid deficiency (although i think it had more to do with the 2 days before the c-section i had 2 failed inductions, and was told to stay in bed all day, rather than...
77                                                                                                                                                                                                           i had a pe and dvt 13 months ago and was put on warfarin 9.5mg daily.? | yahoo answers | i have been taking this med for about 13 months and was told by my doctor to stop taking this med as of today.  does anyone know what side effects may occur?
78                                                                                                                                                                                                                                hair loss from taking warfarin? | yahoo answers | have been on 5 mg's daily for about 2 mos. and over past 3 weeks have noticed dramatic hair loss.  will it stop before i end up bald? anyone else have this experience? remedy?
79                                                                                                                                                                                                                                                                ginkgo biloba safe with soda? | yahoo answers | i was wondering if it is safe to take ginkgo biloba with soda, pepsi to be more specific. thanks for the input.  no stupid answers please, thanks
80                                                                                                                                                                                                                                             about cordaron(amiodaron)..? | yahoo answers | 1.what's side effect  2.does it b.bl? ca.ch.bl? or which blocker? 3.does it alpha or beta blocker? or both or niether one? 4.what is it effect on digoxin & warfarin?
81                                                                                                                                                                                                                                                                                                                                           can deep vein thrombosis cause constipation? | yahoo answers | will treatment with warfarin contribute to constipation
82         doctor has prescribed me doxycycline and metronidazole antibiotics, since taking them i have felt very sick...? | yahoo answers | i am taking 2x 100mg of doxycycline a day, and 2x metronidazole a day. it's a 14 day course. the doctor suspects i may have a pelvic infection and is prescribing these as a precaution before i have further tests. i was just wondering if anyone else has experienced these side effects, as i have been feeling...
83                                                                                                                   i have anixety but i cant take any anti depressents because they make me feel funny and i havennt been the sam? | yahoo answers | i was just told in january that i suffer from panic attacks and anixety i tryed zoloft and celexa they was horrible i havent been the same since i need help and i cant find help please can someone help me
84                                                                                            boxing while taking warfarin (coumadin)? | yahoo answers | i was recently diagnosed with a third blod clot (dvt) within a year, so it looks like i'll be on coumadin for the rest of my life.i am an avid amateur boxer.i'm afraid i already know the answer to this question, but has anyone heard of people boxing while taking coumadin?  thanks in advance for...
85                                                                                                                                                                             danshen chinese medicine - what do you know about it? | yahoo answers | please if you can tell me something about chinese medicine danshen, is it really effective chinese medicine? i heard it is for cleaning the blood. has danshen any precautions or side effects?  many thanks
86                                               nurses, doctors etc -help!- birth control and anticoagulant question? | yahoo answers | i know it's long, but please bear with me!a little over a month ago i was diagnosed with multiple pes in both lungs and hospitalized. the doctors kind of freaked out, they showed me my v/q exam and it looked really bad. i'm 21, healthy weight, i don't smoke. i was on the birth control pill (ortho tricyclen lo)...
87                                                                                                                                                                                                               easy ten points!!!.................? | yahoo answers | tell me what you know about prozac.what are the usual side effects and what to watch out for.do i have to take it with food?how did you feel during the first week that you were taking it?
88                                           does taking panadol at the same time as viagra cancell out the viagra? | yahoo answers | i have to take viagra due to a operation in that region but one of the side effects of taking viagra is headaches when i first used the viagra mr big was rock solid but after that i started taking panadol tabs at the same time that i would take the viagra tab to try to prevent the headaches but i noticed that the...
89                                                                                                                                                                                                                                                                                                                                                                           what things shouldnt i eat when i take warfarin? | yahoo answers | which in particular
90                                          is anyone one on warfarin from pergnancy and having to always go up on meds? | yahoo answers | i had a baby and got a clot in my leg. i was on 6 mg and now 9mgs. keeps going up . can it be from plan b pill . i took it once and then my periond came and my levels were down. also it seems i'm having blurred vision in one eye and it seems like i can hear the blood traveling in my neck. lol and i feel like...
91                                                  i take warfarin.  i have a metallic taste in my mouth.  this is new.? | yahoo answers | i take warfarin (coumadin) every day and have for over two years.  within the last four days i began having a strong metallic taste in my mouth.  i asked a nurse and she said she thought it was a side effect listed for coumadin.i looked up coumadin and there was nothing stated about this weird taste.  it is...
92                                                           is 500mg of disulfiram (antibuse) way too much to be started off on? | yahoo answers | i've been taking antibuse for 2weeks now and jesus christ i sleep like an all day fragle rock episode. whats even scarier is the fact that i will be awake (or my eyes will be wide open) and i still cant move. i can hear everything going on around me and i still can't get up. my parents say i've been...
93                                                                                                                                                                                                                                                                                                                                                                     my mother needs her blood thinner whats the best thing to use? | yahoo answers | no-question
94                                                                                                                                                                                                                                                                                       holistic approach to depression? | yahoo answers | does anyone know of any natural ways to treat depression?  i have tried so many different drugs......thanks!     karen!
95         could responses or sensitivity to certain medications be shared by genetically related persons (description) ? | yahoo answers | my mom was treated for post-partum depression after i was born and given zoloft — her miracle drug, from what i hear. i've been on zoloft now for major depression for ~6 months after trying a few other meds that gave no positive results, but on zoloft there has been increasing noticeable improvement. in the...
96                                                                                                                                                                                                                                                                                                                                                       what is coumadin with contrident used for? | yahoo answers | plesde tell me about coumadin with contrident
97                                                                                                                                                                                                                                                                                                                                                                                    what are the adverse effects of ginkgo biloba ? | yahoo answers | no-question
98                                                                                         wafarin and joint pain? | yahoo answers | my 45 year old brother has been on warfarin since febuary for af. two weeks after commencing warfarin he started with severe hip pain and pain in his leg at the front and side. right leg). he had a cardioversion last friday and went back into sinus rythm on the first attempt. friday evening he was back in a/e with...
99                                                  how could i have contracted an e-coli infection? im taking bactrim? | yahoo answers | hi, i was at my obgyn recently for a checkup and he took a urine sample to check for a bladder or urinary tract infection. a few days later i was told i had an e-coli infection and was given a 10 day course of bactrim antibiotics. (im about 5 days in) any idea how one gets an e-coli infection? my only thought...
100                                                                                                                                                                                                                                welltabs advertised on television? | yahoo answers | has anyone taken them? i haven't read any realistic testimonies on google. what are the ingredients, risks, side-effects, positive results.........ect?  gimmi the deets :)
    Classification Q/N Qlength AveWordLen my  I take_verb pill_words feel_verb
1                1   1      64       4.33  1  0         0          0         0
2                1   1      73       3.81  1  2         0          1         0
3                0   0       8       4.88  0  0         0          0         0
4                1   1      65       4.28  0  4         0          0         1
5                1   1      81       3.52  1  7         2          0         0
6                1   1      47       4.81  0  1         2          0         0
7                1   1      66       4.34  2  3         0          1         0
8                0   0       4       5.25  0  0         0          0         0
9                0   0       9       4.56  0  0         0          0         0
10               0   0       9       4.44  0  0         0          0         0
11               1   1      60       4.63  1  1         0          0         0
12               1   1      44       3.88  1  1         1          0         0
13               1   1      43       4.26  0  0         0          0         1
14               1   1      71       3.92  3  4         3          1         0
15               1   1      67       4.51  0  3         2          0         0
16               0   1      20       4.45  0  1         0          0         0
17               1   1      54       4.06  1  3         1          0         1
18               1   1      39       4.15  0  2         0          0         0
19               1   1      44       4.60  1  0         0          2         0
20               0   1      23       4.43  0  1         0          0         0
21               0   0      14       4.36  0  0         0          0         0
22               1   1      65       4.49  3  3         2          1         2
23               1   1      55       4.22  1  3         2          2         0
24               1   1      69       3.93  4  4         1          1         2
25               1   1      65       4.20  1  6         2          0         0
26               0   0       5       6.00  0  0         0          0         0
27               1   1      67       4.19  1  0         0          0         0
28               1   1      39       4.15  0  2         0          0         0
29               1   1      62       4.79  1  1         0          0         0
30               0   0      10       4.33  0  0         0          0         0
31               1   1      72       4.00  0  5         1          0         1
32               1   1      26       5.12  0  0         2          0         0
33               0   0      14       4.86  0  0         0          0         0
34               1   1      71       3.83  2  5         1          0         0
35               1   1      62       3.77  2  8         0          2         2
36               0   0       8       4.12  0  0         0          1         0
37               1   1      31       4.47  1  1         2          0         0
38               0   0      10       4.90  0  0         0          0         0
39               1   1      58       4.65  0  2         1          0         0
40               1   1      77       3.53  3  6         1          0         0
41               1   1      65       4.58  1  0         2          1         0
42               0   0       8       4.25  0  0         0          0         0
43               1   1      71       4.00  0  2         2          0         2
44               1   1      85       3.32  5  9         2          0         2
45               1   1      37       4.84  0  3         2          0         0
46               0   1      32       4.62  0  0         0          0         0
47               1   1      46       3.96  2  4         1          0         0
48               1   1      59       5.40  4  2         0          0         0
49               1   1      75       4.10  3  2         1          0         0
50               1   0      21       4.10  0  1         1          0         0
51               1   1      75       3.75  2  4         0          0         0
52               1   1      73       3.73  3  3         1          1         0
53               1   1      71       4.28  2  0         1          0         0
54               0   1      27       4.78  1  1         0          0         0
55               1   1      68       4.21  1  0         0          0         0
56               1   1      69       4.12  1  4         0          0         0
57               1   1      47       4.62  0  2         0          0         0
58               1   1      42       3.85  0  3         1          0         0
59               1   1      64       4.30  0  4         0          0         0
60               1   0      22       4.24  0  1         1          0         0
61               1   1      18       5.12  0  0         0          0         0
62               1   1      74       3.61  2  2         0          0         0
63               1   0      20       4.30  0  1         1          1         0
64               1   1      70       4.16  2  4         0          0         0
65               1   1      49       4.02  1  1         1          0         0
66               1   1      45       4.20  0  1         0          0         0
67               1   1      67       4.39  0  3         2          0         0
68               1   1      36       4.78  0  1         0          0         0
69               1   1      34       3.76  0  0         1          3         0
70               1   1      62       4.35  1  1         0          0         0
71               1   1      24       4.67  0  0         0          0         0
72               0   1      33       4.61  0  1         0          0         0
73               1   1      72       3.61  1  4         3          1         0
74               1   1      71       4.06  2  3         0          0         0
75               1   1      74       3.79  2  5         1          0         0
76               1   1      66       4.06  0  5         1          0         0
77               1   1      49       3.57  1  2         2          1         0
78               1   1      40       4.15  0  1         1          0         0
79               1   1      32       4.31  0  1         1          0         0
80               1   1      39       3.79  0  0         0          0         0
81               0   1      13       6.69  0  0         0          0         0
82               1   1      74       4.62  0  6         2          1         2
83               1   1      63       4.02  0  9         1          0         1
84               1   1      64       4.29  1  2         2          0         0
85               1   1      43       4.84  0  1         0          0         0
86               1   1      73       4.33  1  4         0          1         0
87               1   1      43       3.72  0  1         2          0         1
88               1   1      77       4.00  0  5         5          0         0
89               1   1      12       4.67  0  2         1          0         0
90               1   1      87       3.40  4  5         1          2         1
91               1   1      73       4.00  2  5         2          0         0
92               1   1      77       3.89  2  5         1          1         0
93               1   0      12       4.17  1  0         0          0         0
94               1   1      23       5.04  0  1         0          0         0
95               1   1      70       4.93  1  2         0          0         0
96               1   1      14       5.29  0  0         0          0         0
97               0   0       8       4.75  0  0         0          0         0
98               1   1      65       4.22  1  0         0          0         0
99               1   1      77       3.82  2  4         2          0         0
100              1   1      30       5.48  0  1         1          0         0
 [ reached getOption("max.print") -- omitted 290 rows ]
