,V1,V2,V3
1,1,what are azithromycin side effects? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20100906131213AA6ElRj
20,20,"azithromycin side effects? what can i do to stop vomiting so much? | yahoo answers | so im on treatment for chlamydia. my doctor prescribed two 500 mg pills of azithromycin. literally after 1 hour of taken it, i started having bad abdominal pains and i vomited. i know this is a side effect. day 2 was yesterday, and i vomited more than the first day at least 7 times. my question is, is there...",https://answers.yahoo.com/question/index?qid=20100814062747AAcugsw
21,21,"are these possible z-pack side effects? | yahoo answers | taking the z-pack for a sinus infection that returned after a month (was on amoxicillan before).  i have had a few uti's in my life, and tend to get at least 1 sinus infection a year, so antibiotics are not new to me, although the z-pack is.  since taking the z-pack, i have had loose stools (not full...",https://answers.yahoo.com/question/index?qid=20110610085154AAQwq7j
22,22,how long after taking an antibiotic (azithromycin) would i notice side effects? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20101103105210AA8Zezq
23,23,"azithromycin side effects? | yahoo answers | if i always experience stomach pains, diarrhea and nausea while taking azithromycin, does it mean i could have an allergy to it or am i just an unlucky person who happens to get all of the side effects? should i tell my doctor about the side effects i am experiencing?",https://answers.yahoo.com/question/index?qid=20080113075652AAAplTz
24,24,can anyone help me with an azithromycin side effect problem? | yahoo answers | i've been on the antibiotic for one day and i've been having horrible diarrhea for a few hours now.  has anyone ever gone through this and know what to do?  any suggestions would be much appreciated!,https://answers.yahoo.com/question/index?qid=20091021174102AAH0TA4
25,25,"side effects of azithromycin to cure chlamydia ? | yahoo answers | i have posted similar questions , i apologize but i am rather anxious ! a day after i took the dose prescribed of azithromycin for chlamydia 1000 mg in 1 dose , i am having brownish discharge and cramps - i assume this is either from the chlamydia or a side effect of the azithromycin . anyone else experience this...",https://answers.yahoo.com/question/index?qid=20130418200247AAxUSQZ
26,26,"azithromycin side effects? | yahoo answers | okay, so my doctor prescribed azithromycin for my sinus infection, i made the mistake of looking up the side effects after i took the medication and now i'm a bit nauseous. (i tend to be a hypochondriac at times.) so my question is, is the nausea a side affect of the medication? or is it from my worry of...",https://answers.yahoo.com/question/index?qid=20130904185100AAjcxcz
27,27,"need, side effect of azithromycin, help. an answer would be better than a suggestion if you can please.? | yahoo answers | day 4 of z-pak (azithromycin) and i have the pounding heartbeat side effect. risks? should i stop taking it?i have had the common symtoms like diharrea and an upset stomach but now i have a pounding heartbeat at times and slight chest pain. any thing to watch for or any thing i should be concerned about? i'm...",https://answers.yahoo.com/question/index?qid=20101015121642AAe7deJ
28,28,"azithromycin side effects? | yahoo answers | so i just started treatment for chlamydia. my doctor prescribed two 500 mg pills of azithromycin. literally after 1 hour of taken it, i started having bad abdominal pains and i vomited. i know this is a side effect. my question is, is there anything i can take or eat to keep my stomach from being upset as i go...",https://answers.yahoo.com/question/index?qid=20100812112250AAKGHfR
29,29,i took the medication azithromycin. has any one had any bad side effects from this medication? | yahoo answers | i believe it was called the z-pack! or 6 pack. i believe z-pack & 6 pack are the same thing.i started taking the medication on sept 5th. i quit taking it 5 days later. i would say about the 9th or 10th. it stayed in my system for awhile after that. yesterday i was still feeling pretty nauseous yet. my appetite...,https://answers.yahoo.com/question/index?qid=20090914095726AAtKxke
30,30,azithromycin side effects? | yahoo answers | hi i'm takin the azithromycin and well this is embarrassing but i'm having constant loose stoole and its bright green and i'm getting worried,https://answers.yahoo.com/question/index?qid=20120920160435AADpBIT
31,31,side effects of the azithromycin z pack? | yahoo answers | i am 19 years old and was diagnosed with a bacterial infection and bronchitis.  my doctor prescribed the azithromycin 250mg z pack.  i took one pill today and the side effects have been extremely painful.  i have had severe stomach pains for hours and just had really bad diarrhea.  i am really afraid that this will...,https://answers.yahoo.com/question/index?qid=20111107190315AAoJogn
32,32,side effects if i take a azithromycin and then a sudafed? | yahoo answers | side effects if i take a azithromycin and then a sudafed?,https://answers.yahoo.com/question/index?qid=20090424064804AA8Z9As
33,33,azithromycin dangerous side effect? | yahoo answers | my doctor prescribed me azithromycin due to my throat being swollen with white spots plus i have swollen glands around my neck. the second day of taking the antibiotic i've developed red bumps that do not itch. is this a allergic reaction? i feel fine. i'm not having trouble breathing. i've talked to my...,https://answers.yahoo.com/question/index?qid=20111215030941AANGAjL
34,34,stomach bug or bad side effects? | yahoo answers | so today my doctor prescribed be azithomycin a.k.a. the z pack and i was feeling perfectly fine for about an hour or so and then my stomach started hurting and cramping and i got really really nauseated. i did not vomit however around two hours later i suddenly got diarrhea. so far it hasn't been alot just...,https://answers.yahoo.com/question/index?qid=20110714233019AAU6GJQ
35,35,"azithromycin side effects? | yahoo answers | i'm taking this for a strep infection, and i'm on day 3 of a 5 day pack. i take it on an empty stomach, like i'm supposed to, but when i eat, this stuff makes me horribly nauseous and gives me really bad gas. like the kind of gas that makes your stomach painfully bloated. it doesn't appear to be...",https://answers.yahoo.com/question/index?qid=20080607155027AAxYerA
36,36,"azithromycin, hershey squirt side effect? | yahoo answers | i'm on the third day of treatment (for ear ache) with two days left.  yesterday, the second day, i had to hershey squirt several times in the day.  today, i did twice within the first hour of waking up, and many more times subsequently.  is there anything i can take to counter this side effect?",https://answers.yahoo.com/question/index?qid=20070602090622AAhnCYA
37,37,"azithromycin and side effects? | yahoo answers | i've been getting side effects of azithromycin when taking the pills. tomorrow is the last day i have to take the pill, but since it stays in your body even after you're done taking the pills, will i still experience the side effects?",https://answers.yahoo.com/question/index?qid=20080314160625AAUKDEj
38,38,"how long do the side effects of azithromycin last? | yahoo answers | i took a gram of azithromycin about 4 days ago. since then i've had muscle weakness, gas, bloating and mild abdominal pain. are these side effects of azithromycin and if so how long do they last?",https://answers.yahoo.com/question/index?qid=20120214173453AA8ycvM
39,39,"hives from taking azithromycin.....? | yahoo answers | i took azithromycin this past week because i was developing a lung type of cold thing (doctors didn't tell me what it was, just gave me some antibiotics).  today i woke up extremely itchy and i looked in the mirror and i'm covered in hives and red patches that itch like no other.  i took some benadryl...",https://answers.yahoo.com/question/index?qid=20121030105016AAWPMJn
40,40,what are the side effects if you mistakenly take azithromycin 2 and a half hours after eating a chicken salad? | yahoo answers | the prescribed medicine says not take any dairy products or eat mayonaise and i mistakenly ate little mayonaise inside my chicken salad rap,https://answers.yahoo.com/question/index?qid=20130414042539AAElFJl
41,41,have any of you taken azithromycin? | yahoo answers | did you have any side-effects?,https://answers.yahoo.com/question/index?qid=20110826032518AAoS15y
42,42,"i took azithromycin and in less than an hour i vomited, i know that is a side effect, but will it still work? | yahoo answers | to be more clear i am wondering if the medicine will still be effective although i vomited so quickly",https://answers.yahoo.com/question/index?qid=20100326194931AAFFl0L
43,43,"can you still experience the side effects of antibiotics even after you have finished taking them? | yahoo answers | i was taking zithromax (arithromacin) antibiotic for 5 days for a sinus infection (it's like 6 pills, and you take 2 the first day, and 1 ea. day after). i completed the treatment on sunday, with no side effects. today (wednesday) i woke up feeling like normal, then while i was getting dressed for class, i felt...",https://answers.yahoo.com/question/index?qid=20120201100924AAz4x9D
44,44,what are the side effects of azithromycin? | yahoo answers | my doctor prescribed this for my sinus infection. i'm just wondering what are the possible side effects of this drug?,https://answers.yahoo.com/question/index?qid=20130624115108AAmgTB5
45,45,"azithromycin / zithromax.. are these side effects? is it serious? | yahoo answers | sorry in advance for the gory details.9 days ago, i took a single dose of azithromycin for an infection. 4 capsules, taken all at once.since i took these i've been experiencing a couple of side effects that have gotten noticeably worse.for one, i have this incessant itching. it's mostly on my upper...",https://answers.yahoo.com/question/index?qid=20110715191807AANCNQZ
46,46,can i take dramamine while on azithromycin? any negative side effects from doing so? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20110707131939AARiLmg
47,47,how safe is the antibotic azithromycin? | yahoo answers | i took it for a sinus infection i had a week ago i took them accordingly to the directions and  had  side effects a  few times due to the which was  (diarrhea)  and i noticed during taking this my heart rate sounded different  and i also have asthma  i talked to my doctor and he recommended that i took that to help...,https://answers.yahoo.com/question/index?qid=20121025203248AATE2Zt
48,48,"side effects of azithromycin for chlamydia? | yahoo answers | well.... umm if have chlamydia and i take azithromycin, and my boyfriend doesn't know if he has it or not but want to take one just in case what will be the side-effects of him taking one??? what will happen....?",https://answers.yahoo.com/question/index?qid=20100420171247AApTin4
49,49,i took the medication azithromycin. has any one had any bad side effects from this medication? | yahoo answers | i believe it was called the z-pack! or 6 pack. i believe z-pack & 6 pack are the same thing.i started taking the medication on sept 5th. i quit taking it 5 days later. i would say about the 9th or 10th. it stayed in my system for awhile after that. yesterday i was still feeling pretty nauseous yet. my appetite...,https://answers.yahoo.com/question/index?qid=20090914095940AA8ohta
50,50,"should i be worried about the side effects of this antibiotic? | yahoo answers | last night, i took two single dose tablets of azithromycin to treat chlamydia.  a few hours later, i had very watery diarrhea constantly. even this morning the diarrhea was continuing. is this serious and something i should inform my doctor about? or should i wait and see what happens?",https://answers.yahoo.com/question/index?qid=20090703083642AAgWHPM
51,51,how long after taking an antibiotic (azithromycin) would i notice side effects? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20101103104913AAETDti
52,52,"how long are my azithromycin aka zithromax side effects going to last after one dose? | yahoo answers | i'm on two 500mg tablets once today, and once in one week to knock out a bacterial infection. i took my first dose of two today at 3pm. the reason it's once weekly for two weeks is because i already have stomach problems, and my doctor wanted to take it easy on me. however, it's not so easily taken...",https://answers.yahoo.com/question/index?qid=20130227142407AAY3elx
53,53,"double checking my doctor? | yahoo answers | i'm taking azithromycin tablets for an ear infection, and also benzomycin for acne.  will there be any side effects from taking these together?",https://answers.yahoo.com/question/index?qid=20110128183414AAzJ3eR
54,54,"how do fight the side effect of azithromycin? | yahoo answers | i was put on the z-pack for a bronchial infection and the first two days were fine, but now i'm getting the diarrhea side effect.  it says you shouldn't take an anti-diarrhea med while on it because it could counteract the z-pack.so how can i balance this out?  i started with some extra fiber today but...",https://answers.yahoo.com/question/index?qid=20101111164253AAicUtM
55,55,how long does the side effects for 2 500mg azithromycin last? | yahoo answers | my dr gave me a prescription for 2 500mg of azithromyvin and now i have the worse stomach.pain.bad diarrhea and nausea how long will this take to stop,https://answers.yahoo.com/question/index?qid=20130905150338AAqE0So
56,56,can i have side effects from taking a clamidia pill a week later? | yahoo answers | i was diegnosed with clamida on monday and the doctor gave me some pills to take. its now friday and im having severe stomach pains. do you think it could be a side effect of the pills i took on monday>?,https://answers.yahoo.com/question/index?qid=20091204100504AA4GgR6
57,57,doxycycline vs azithromycin - which generally has fewer gi side effects? | yahoo answers | i was prescribed azithromycin by one doctor and doxycycline by another. both to treat the same condition-sinusitis.  i have a really sensitive gi tract and was wondering which of these medicines is generally better tolerated? thanks,https://answers.yahoo.com/question/index?qid=20121128161237AAv0aW3
58,58,i took the medication azithromycin. has any one had any bad side effects from this medication? | yahoo answers | i believe it was called the z-pack! or 6 pack. i believe z-pack & 6 pack are the same thing.i started taking the medication on sept 5th. i quit taking it 5 days later. i would say about the 9th or 10th. it stayed in my system for awhile after that. yesterday i was still feeling pretty nauseous yet. my appetite...,https://answers.yahoo.com/question/index?qid=20090914095823AA8mCrN
59,59,took azithromycin for chlamydia. is this a side effect? | yahoo answers | i took the two pill one dose azithromycin (two giant pink pills that i had to take at once). now i'm having a white frothy discharge with no odor. is this the infection coming out of my body? and no judgement please. my partner who i was in a relationship with gave me the chlamydia. i know about condom...,https://answers.yahoo.com/question/index?qid=20091019142338AAdmENp
60,60,side effects of z-pack antabiotic? | yahoo answers | what are the side effects of the z-pack? and will it contribute tho weight gain or loss?,https://answers.yahoo.com/question/index?qid=20110308074356AAJLL0i
61,61,"side effects to watch out for? | yahoo answers | when taking antibiotics or medications, are there any side effects that should really be sending off red flags? 9 days ago i took a single dose of azithromycin / zithromax for an infection. can i still experience side effects so long after taking the antibiotics?",https://answers.yahoo.com/question/index?qid=20110715192405AAxKD5o
62,62,"azithromycin tablets!? | yahoo answers | i went to the doctors yesterday and he said i had some fluid in one of my lungs and he gave me azithromycin tablets to help cure it. i took them about 1-2 hours after eating then about 2 minutes later i ate some thai food. after taking a few bites i had extremely painful chest pain, like it was burning and i...",https://answers.yahoo.com/question/index?qid=20100122085620AA87nVB
63,63,"medication question about azithromycin? | yahoo answers | hey what's up. i just had a question to ask about this medication? is it like amoxocillin or bactrum. reason is because i had a arousal problem two years ago and haved worked to stop this ritual and have been sucessful in extending the time for doing so. my anxieties and obsessiveness don't help, it's a...",https://answers.yahoo.com/question/index?qid=20090606213647AAvEjP7
64,64,"should i stop taking my z pack anitbiotics if i am getting side effects from it? | yahoo answers | i got prescribed azithromycin for my strep throat, and i'm getting 3 side effects from it. abdominal pain, diarrhea and stabbing stomach pains. these are all pretty common but painful side effects, will it hurt me to take it still? i really want to get rid of my strep throat.",https://answers.yahoo.com/question/index?qid=20110502073951AALBTtq
65,65,"are these side effects from the antibiotic or should i be worried that i am pregnant? | yahoo answers | i was taking the antibiotic azithromycin (z-pack or zithromax) from 2/18-2/22.  i experienced side effects of cramps and nausea on the first two days then they went away.  i am on birth control, but my boyfriend and i were using condoms.  guess what happened?  it broke.  now for the past three days i have been...",https://answers.yahoo.com/question/index?qid=20080227090021AA7Yydv
66,66,"is azithromycin safe? | yahoo answers | i am allergic to a lot of drugs- even common ones like amoxicillin and benedryl.today i was diagnosed with bronchitis (induced asthma). i was put on a breathing machine shortly after the dr, heard my lungs. i believe this is from the bad air quality at work. our building is currently closed because the entire...",https://answers.yahoo.com/question/index?qid=20111020202512AAtwkcY
67,67,"how long can antibiotics cause side effects after you stop taking them? | yahoo answers | my doctor prescribed azithromycin (or however you spell it) last monday and i took the last dose on wednesday. yesterday (saturday), i started experiencing some of the ""side effects"" listed on the sheet. is it possible it's being caused (still) by the antibiotics or am i probably sick with something else?",https://answers.yahoo.com/question/index?qid=20091122121213AAr3Wxa
68,68,side effects of antibiotic . . or illness ! ? help? | yahoo answers | for two days i was feeling really sick so i went to the doctor who said i had strep throat along with an upper respiratory virus. he perscribed me z-pack. i took the first dose and about 3 or 4 hours later i had really bad stomach pain and diarriah. i took immodium and felt better. today i took my second dose and...,https://answers.yahoo.com/question/index?qid=20090426232244AAckl6q
69,69,co-azithromycin chlamydia 39 weeks pregnant? | yahoo answers | im 39 weeks pregnant and i just took a drug called co-azithromycin i had to take all 8 tablets at one time its a 250 mg pill each tablet. my doc said to take them as soon as possible because im due in two days and he wants to cure my chlamydia before the baby comes i called mother risk and asked about it and they...,https://answers.yahoo.com/question/index?qid=20071221120244AA4zBjZ
70,70,"is it safe to take azithromycin while pregnant? | yahoo answers | my wife, who just began her 16th week was recently diagnosed with walking pneumonia.  he doctor (who knows of the pregnancy) prescribed her with azithromycin.  all of my research is showing that it was never tested on a human fetus, only animal fetuses, with no negative side effects.  just wondering if anybody...",https://answers.yahoo.com/question/index?qid=20090211150634AANhfb3
71,71,"is it possible to experience side effects a few days after starting antibiotics, and not immediately? | yahoo answers | i am on azithromycin for strep throat, a five day pack where i took 2 the first day and 1 a day for the next 4 days. i am on my third day now. i felt fine the first 2 days and now, on the third day, i had diarrhea. is this because the medicine is building up, so side effects are arising? i'm worried that the...",https://answers.yahoo.com/question/index?qid=20101105200425AAIzpw9
72,72,"are these normal side effects? | yahoo answers | azithromycin 250mg. i took 2. i'm now nauseated, and am getting stomach pain every few minutes. is this normal for someone on this med?",https://answers.yahoo.com/question/index?qid=20121001232338AAYKuUm
73,73,does azithromycin cause a runny nose? | yahoo answers | i've been taking azythromacin for 4 days now and i awoke today with some mild allergies but later in the day i had a bad runny nose! i'm wondering if this is a normal side affect? i still have the runny nose right now and i do have a bacterial infection in my throat. i have a sore throat as well.,https://answers.yahoo.com/question/index?qid=20130910152938AAExTjQ
74,74,how long will my side effects last?? help!! z-? | yahoo answers | i took azithromycin today. it was a one dosage of four tablets (250 mg). i'm feeling very queasy and just want to know how long the side effects will last?,https://answers.yahoo.com/question/index?qid=20140109092237AAW5o7b
75,75,"drinking alcohol with azithromycin? | yahoo answers | alot of self proclaimed health experts on previous questions on here have said that it makes antibiotics not work but there seems to be no proof. anyone have any hard evidence that says it's bad? i can't find any, and it has no warnings on the antibiotic or anything. any help is appreciated.",https://answers.yahoo.com/question/index?qid=20090206182019AAcLvfL
76,76,"is azithromycin safe? | yahoo answers | i am allergic to a lot of drugs- even common ones like amoxicillin and benedryl.today i was diagnosed with bronchitis (induced asthma). i was put on a breathing machine shortly after the dr, heard my lungs. i believe this is from the bad air quality at work. our building is currently closed because the entire...",https://answers.yahoo.com/question/index?qid=20111019191830AAyH7as
77,77,need side effect diagnosis!!! important! help? | yahoo answers | day 4 of z-pak (azithromycin) and i have the pounding heartbeat side effect. risks? should i stop taking it?i have had the common symtoms like diharrea and an upset stomach but now i have a pounding heartbeat at times and slight chest pain. any thing to watch for or any thing i should be concerned about? i'm...,https://answers.yahoo.com/question/index?qid=20101015114849AAI2pCN
78,78,"chlamydia treatment? azithromycin? | yahoo answers | i got an std check last thursday. my results came back thursday just there, and came back positive for chlamydia. i went back on friday to get treatment which i believe was azithromycin. it was 4 capsules with a cup of water and that was it. she said it would take 7 days to clear and may experience diarrhoea, feel...",https://answers.yahoo.com/question/index?qid=20120923124520AA3ehLC
79,79,azithromycin spn 1gm? | yahoo answers | i have chlamydia and the doctor prescribed  azithromycin spn 1gm. i know there's pills but i got the powder that i had to mix with water. i took it two days ago with the two shots from the doctor. how long should i wait until i'm able to drink alcohol ? because its my friends birthday and we want to...,https://answers.yahoo.com/question/index?qid=20120811111423AAhg9rk
80,80,can azithromycin cause bumps on penis? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20090804041052AAgMHGC
81,81,"azithromycin, safe for breastfeeding? | yahoo answers | im breastfeeding my one month old son and was prescribed azithromycin to help fight off a cold and to avoid getting a sore throat/ strep(i get this very easily) anyways i googled it and it says the medication goes to the breast milk to the baby, but the doctor said its safe to take and not very much will go to him....",https://answers.yahoo.com/question/index?qid=20101010114715AAtdepQ
82,82,"is azithromycin safe? | yahoo answers | i am allergic to a lot of drugs- even common ones like amoxicillin and benedryl. today i was diagnosed with bronchitis (induced asthma). i was put on a breathing machine shortly after the dr, heard my lungs. i believe this is from the bad air quality at work. our building is currently closed because the entire...",https://answers.yahoo.com/question/index?qid=20111019190243AA9TDSy
83,83,is there an antidote to azithromycin? | yahoo answers | i am having some of the more serious side effects like hissing in my ears and irregular heartbeat.,https://answers.yahoo.com/question/index?qid=20111007043134AANezHK
84,84,"the antibiotic azithromycin tabletes? | yahoo answers | hi, i went to the  emergency room a few days ago in regards to pain i was having in my ear. they told me i got a really bad ear infection. i started to take this antibiotic called azithromycin tablets. the first day i took it wasn't so bad. but i woke up this morning with that side of my face all red and hot...",https://answers.yahoo.com/question/index?qid=20100715042820AAVeI9I
85,85,"azithromycin or amoxicillin ? | yahoo answers | my doctor prescribed me 5 day course of azithromycin to treat my sinus infection, but i ve heard that azithromycin is very hard on the stomach and that it causes irregular heart beat, so can i change it with amoxicillin and will it have the same effect as azithromycin ? thanks!",https://answers.yahoo.com/question/index?qid=20160213080654AAuQUWl
86,86,diarrhea from azithromycin? | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20081016151428AA4kkuK
87,87,my doctor gave me azithromycin? | yahoo answers | i've gotten diarrhea and and my lower abdomen hurts. i went to wikipedia and saw the side effects where those. i just wanted to know how long these will last because it's a little painful.,https://answers.yahoo.com/question/index?qid=20090819194750AAgSoJB
88,88,"how long can antibiotics cause side effects after you stop taking them? | yahoo answers | my doctor prescribed azithromycin (or however you spell it) last monday and i took the last dose on wednesday. yesterday (saturday), i started experiencing some of the ""side effects"" listed on the sheet. is it possible it's being caused (still) by the antibiotics or am i probably sick with something else?",https://answers.yahoo.com/question/index?qid=20091122121137AAIhDqT
89,89,what side effects did you get from erythromycin? | yahoo answers | also which dose were you taking per day?,https://answers.yahoo.com/question/index?qid=20101123201010AAFkYzp
90,90,"has anyone ever had chlamydia? | yahoo answers | has anyone had this, and had to take an antibiotic called azithromycin? have you had any of the side effects, and does it really work?",https://answers.yahoo.com/question/index?qid=20130215171550AAxAcbI
91,91,"can i substitute clindomycin for azithromycin for one dose? | yahoo answers | can i substitute clarythromycin for azithromycin for one dose?i have a mean case of bronchitis. my doctor prolonged my course of azithromycin. however, my pharmacy was closed today due to the holiday, so i couldn't pick up my refill. i hate to miss a day because i really want to get this infection out of my...",https://answers.yahoo.com/question/index?qid=20130902172024AA524z0
92,92,"what are the effects of taking concerta and antibiotics? and/or ritalin with antibiotics? | yahoo answers | i have recently taken a dosage of azithromycin, an antiobiotic prescribed for my sinus and ear infections. this was the last dosage of antibiotics i had to take after taking it for 5 days. i would like to know what would happen if i took concerta and/or ritalin the next day. will it make the antibiotic less...",https://answers.yahoo.com/question/index?qid=20101123061313AA5tadE
93,93,azithromycin and alcohol? | yahoo answers | i was prescribed a 5 day dose of azithromycin and was wondering how long after the prescription is done with can i have alcohol,https://answers.yahoo.com/question/index?qid=20110607221915AAs4Lwk
94,94,"azithromycin and alcohol? | yahoo answers | so today is my 18th birthday and i have a huge house party planned, but i've been prescribed 1 card(6 tablets) of azithromycin is it ok to drink and partake in my celebration!? i've only taken the first dose",https://answers.yahoo.com/question/index?qid=20120124144411AA7PIKZ
95,95,i was taking azithromycin 500 mg the doctor gave me 2 tablets. i wanted to know how long does this stay in you | yahoo answers | no-question,https://answers.yahoo.com/question/index?qid=20080720115129AAL3LVL
96,96,"ineffective azithromycin? | yahoo answers | i have had (and still have) a bad cough. i was diagnosed with bronchitis and have just finished my five day azithromycin prescription. i haven't noticed any real improvement and my cough is still very deep and painful. occasionally i do cough-up mucus, but i feels like there is some down too deep for me to...",https://answers.yahoo.com/question/index?qid=20130704071645AATTFMQ
97,97,is azithromycin 250mgs a strong antibiotic? | yahoo answers | its been 3 days and i no longer fell dizzy but when i cough my head hurts.,https://answers.yahoo.com/question/index?qid=20090724185356AAmRPqW
98,98,possibly pregnant and taking azithromycin? | yahoo answers | i am 4 days past my periods due date and i have been prescribed azithromycin for a pretty bad sinus infection/sore throat. i have taken it before and had no side effects but now im experiencing slight nausea and stomach upset. i dont know whether i am or not but just in case..is it safe to take while pregnant? i...,https://answers.yahoo.com/question/index?qid=20091216110913AAgbITA
99,99,"can i drink alcohol while taking azithromycin? | yahoo answers | helloi was prescribed a 5 day prescription of azithromycin on wednesday.i want to drink saturday night.i usually drink vodka and soda, but i could drink beer if it would be better for me.i feel completely over my sickness as of today (friday).should i skip my dose tomorrow (saturday) and drink? should i...",https://answers.yahoo.com/question/index?qid=20131206151409AAKMLbC
100,100,"on antibiotic called azithromycin generic brand of z pack? | yahoo answers | ok starting a day after my bday june 29th i started a bad sinus infection doctor gave me amoxicillin and it went away but now im left with a bad ear infection. no pain just clogged feeling and fluid. the doc this time gave me azithromycin. never taken before. please if anyone has, tell me your side effects with it....",https://answers.yahoo.com/question/index?qid=20130705173834AAVKJrx
