,Question,Type
30,is anyone taking warfarin for a blood clot in the lower legs. have been prescribed it by a doctor.? | yahoo answers | i have be given warfarin to take and heparin injections.this is all making me feel so nervous. what will i feel like when the blood thins and will it cure the blood clot? can anyone else who has had it help me? heard about so many side effects that frighten me.,P
31,"my inr level is kinda high, is that why i feel like this? | yahoo answers | i had a small blood clot in my lung and now i have to take coumadin for the next 6 months. i have only been on it for about 3 weeks now. i had my inr checked on monday and it came back at 3.9 when i was told it should be maintained between 2-3. i have kept taking my medicine as my doctor said i should but i feel...",P
32,natural alternatives to warfarin? | yahoo answers | i was diagnosed with dvt & am now taking warfarin. i am having terrible side effects to this medication and want to know if there are any natural alternatives which i could take instead.,P
33,"uk only: i may have to start taking warfarin. if so do i have to inform dvla and my insurance company? | yahoo answers | uk only: i may have to start takng warfarin, to treat atrial fibrillation .  if so do i have to inform dvla and my insurance company?",P
34,"warfarin/cumoudin makes my grandmother sick.? | yahoo answers | everytime she takes those bloodthinners, she gets sick. she starts having migraines, which makes her vomit uncontrollably. i'm living with her because i was having problems at home with my mother (in michigan). i'm seriously contemplating going back to my mother because i just can't deal with my grandmother being...",P
35,"how long does it take for coumadin (warfarin) to make your hair fall out? | yahoo answers | i've already been bald from chemo once. i am really frustrated i'm going to lose my hair again.  none of my doctors will give me an answer, my pharmacist said i probably wouldn't lose hair.  i'm totally paranoid and upset and obsess over whether or not hair is coming out, or if it looks dry, or if...",P
36,i have been taking warfarin x6 years and have gained 30 lbs.  is this common? also have hair loss. heart valve | yahoo answers | no-question,P
37,what are the side effects of cumadin? | yahoo answers | i have been on cumadin for 13 years sense i was 6 months old it was never causing me issues but for the last 3 weeks i started to get a sharp pain in my right shoulder shoulder blade and upper arm i also got a rash itchy on both of my forearms stomach pains are thes from the meds or not cause it a pretty close quince,P
38,"does warfarin/coumadin make you tired? | yahoo answers | back in june i was hospitalized with a blood clot in my lung. my dr. put me on warfarin/coumadin, 9 mg per day. i have a blood test once a month, my inr level is usually between 2.5 and 3.0, which is normal. as soon as this happened he took me off of premarin, which i had been on for 12 years following a...",P
39,husband stops taking warfarin (without doctor's advice)? | yahoo answers | my husband(32 years)is on warfarin since 5 years but last year a relative died because her blood was too thin .she was 70 years.now my hubby do not takes his warfarin regularly.he pretends that it has many side effects and that his blood may become too thin.he don't go for his  inr test regularly and stops his...,P
40,"health question regarding stomach and legs? | yahoo answers | my friend has to give herself a needle in her stomach because she is prone to blood clots and this needle helps to control this. now, she has begun to notice a lump forming on her stomach that is getting bigger and is turning a yellowish color. at the same time, one of her legs is bruising and turning into a rash....",P
41,amiodarone for controlling atrial fibrillation? | yahoo answers | my doctor decided to fully load me with amio after just 9 episodes of afib. since 2005. i didn't question it until i read about all of the serious side effects that can happen. i then saw him again and told him i wanted off of amio. stopped the amio in feb. 2007. he then put me on digoxen.....nasty med for me....,P
42,"i am currently on warfarin for a blood clot disorder. anyone know about the progress on replacements? | yahoo answers | i know a new anticoagulant called xarelto is being developed, but would this be a replacement for warfarin? anyone know when this will be marketed and sold in the us?",P
43,acid blockers 4 acid reflux? | yahoo answers | i get a lot of acid reflux and i take otc acid blockers for it.  do these have any side effects with your stomach.  i don't have insurance to see the dr or get a prescription.,P
44,"rat poison (warfarin) info? | yahoo answers | i'm am a mcmaster med student and i am looking for opinions from people who know what they're talking about. i am doing a project on warfarin, working on the section of rat poison ingestion right now. i have some questions. i've looked in the text books but i always like to hear from other people who...",P
45,i haven't read it anywhere but does anyone know of daily-heavy nose bleeds as a side effect of taking lipitor? | yahoo answers | no-question,P
46,has anyone tried st. john's wort for anxiety and panic attacks? | yahoo answers | side effects? good effects? dosage? cautions?,P
47,birth control for too long? | yahoo answers | i've been on b.c. for almost 10 yrs and like most women i got on it to help with my (heavy) periods. i've been doing research the harm it can do or side effect for being on it to long. i'm 23 yrs old and have been with my boyfriend for 4 yrs and with talking about our future with having kids i just want...,P
48,"i take pristiq, 50 mg.can you add 20mg of cymbalta to address worsening anxiety side effect of the pristiq? | yahoo answers | no-question",P
49,"effects of an ear piercing while on coumadin(warfarin)? | yahoo answers | i was just wondering what could happen to me if i went and got my ears pierced while i was on the drug coumadin (warfarin). the only risk i can see is bleeding, but when watching my friends get it done there seems to be little to no blood, though im not medically trained so im wondering what other side effects...",P
50,does anyone know what the drug procrit is used to treat? | yahoo answers | my mother is severely anemic and her dr. has prescribed 3 injections of procrit.  i was wondering if any of you had knowledge about it or have taken it and if so what side effects did you have?,P
51,"what are the most effective drugs in treating type 2 diabetes? | yahoo answers | i know some drugs used to treat type 2 dm may have some bad side effects like heart failure and are not too safe, but besides side effects which ones are the most effective?",P
52,can i drink warfarin and nitrufoni together? | yahoo answers | im just paranoid since ive been drinking alot of medication im on omeprazole for acid reflux im on nitrufoni for a uti and warfarin for a past p.e and well i also have to take meclazine and adavan when needed i know warfarin n omeprazole have some interaction n well im afraid to take the wrfarin and nitrufoni since...,P
53,"i need an alternative to dilantin,which would be the best,with the least side effects? | yahoo answers | it must be something that goes well with phenobarbitol. also any other websites of assistance would be most helpful. thanks",P
54,"how many people report hair loss using warfarin? | yahoo answers | i,m starting to take warfarin 3mg one time a day .. how high is the risk for hair loss using 3mg dose one time a day ?",P
55,"what are the effects of rat poision on humans? | yahoo answers | my fiance is in the military and the water on their base was poisoned with rat poision. he is recieving treatment but we are not getting much information. the only side effects i know of are nausua, diahrea, and the blood becomes thinner. are there any other short term or long term effects?",P
56,"is anyone familiar with the medication ""mitotane""? | yahoo answers | if so, do you know of any possible side effects that this medication may cause? thank you",P
57,"how much st. johns wart should i take? | yahoo answers | i got a bottle of st johns wart. made by finest natural. i bought it at walgreens.it is 300mg tablets.it says ""take 3 tablets each day""im guessing that means at 3 different times right?how long does it take for this stuff to work?i thought it might help my anxiety, so id give it a try.do i have to...",P
58,"dizzy during period in the summer (plus prescription meds)? | yahoo answers | i have type 1 diabetes (since nov. 2003) and lupus (since july 2006),  and during the summer last year i would get dizzy during the first day or 2 of my period each month.  at the time i was on 2 different types of insulin for my diabetes (still am on both insulins), and was on cellcept, 2 blood pressure meds, and...",P
59,"how to deal with major blood loss during period? | yahoo answers | i'm 20 years old, and ever since i was 13 - iwould lose a lot of blood during my period. at 16, i started taking birth control because of the pain, and then i stopped. but for the past few months, my periods have gotten worse. and i lose a major amount of blood. (i can go through about 1 super tampon in 2hrs or...",P
60,"coumadin (warfarin) questions...? | yahoo answers | i am 33 and taking coumadin (warfarin) because i had a pulmonary embolism following a c-section 14 months ago.  i was told it was caused by a folic acid deficiency (although i think it had more to do with the 2 days before the c-section i had 2 failed inductions, and was told to stay in bed all day, rather than...",P
61,i had a pe and dvt 13 months ago and was put on warfarin 9.5mg daily.? | yahoo answers | i have been taking this med for about 13 months and was told by my doctor to stop taking this med as of today.  does anyone know what side effects may occur?,P
62,hair loss from taking warfarin? | yahoo answers | have been on 5 mg's daily for about 2 mos. and over past 3 weeks have noticed dramatic hair loss.  will it stop before i end up bald? anyone else have this experience? remedy?,P
63,"ginkgo biloba safe with soda? | yahoo answers | i was wondering if it is safe to take ginkgo biloba with soda, pepsi to be more specific. thanks for the input.  no stupid answers please, thanks",P
64,about cordaron(amiodaron)..? | yahoo answers | 1.what's side effect  2.does it b.bl? ca.ch.bl? or which blocker? 3.does it alpha or beta blocker? or both or niether one? 4.what is it effect on digoxin & warfarin?,P
65,"doctor has prescribed me doxycycline and metronidazole antibiotics, since taking them i have felt very sick...? | yahoo answers | i am taking 2x 100mg of doxycycline a day, and 2x metronidazole a day. it's a 14 day course. the doctor suspects i may have a pelvic infection and is prescribing these as a precaution before i have further tests. i was just wondering if anyone else has experienced these side effects, as i have been feeling...",P
66,i have anixety but i cant take any anti depressents because they make me feel funny and i havennt been the sam? | yahoo answers | i was just told in january that i suffer from panic attacks and anixety i tryed zoloft and celexa they was horrible i havent been the same since i need help and i cant find help please can someone help me,P
67,"boxing while taking warfarin (coumadin)? | yahoo answers | i was recently diagnosed with a third blod clot (dvt) within a year, so it looks like i'll be on coumadin for the rest of my life.i am an avid amateur boxer.i'm afraid i already know the answer to this question, but has anyone heard of people boxing while taking coumadin?  thanks in advance for...",P
68,"danshen chinese medicine - what do you know about it? | yahoo answers | please if you can tell me something about chinese medicine danshen, is it really effective chinese medicine? i heard it is for cleaning the blood. has danshen any precautions or side effects?  many thanks",P
69,"nurses, doctors etc -help!- birth control and anticoagulant question? | yahoo answers | i know it's long, but please bear with me!a little over a month ago i was diagnosed with multiple pes in both lungs and hospitalized. the doctors kind of freaked out, they showed me my v/q exam and it looked really bad. i'm 21, healthy weight, i don't smoke. i was on the birth control pill (ortho tricyclen lo)...",P
70,easy ten points!!!.................? | yahoo answers | tell me what you know about prozac.what are the usual side effects and what to watch out for.do i have to take it with food?how did you feel during the first week that you were taking it?,P
71,does taking panadol at the same time as viagra cancell out the viagra? | yahoo answers | i have to take viagra due to a operation in that region but one of the side effects of taking viagra is headaches when i first used the viagra mr big was rock solid but after that i started taking panadol tabs at the same time that i would take the viagra tab to try to prevent the headaches but i noticed that the...,P
72,what things shouldnt i eat when i take warfarin? | yahoo answers | which in particular,P
73,is anyone one on warfarin from pergnancy and having to always go up on meds? | yahoo answers | i had a baby and got a clot in my leg. i was on 6 mg and now 9mgs. keeps going up . can it be from plan b pill . i took it once and then my periond came and my levels were down. also it seems i'm having blurred vision in one eye and it seems like i can hear the blood traveling in my neck. lol and i feel like...,P
74,i take warfarin.  i have a metallic taste in my mouth.  this is new.? | yahoo answers | i take warfarin (coumadin) every day and have for over two years.  within the last four days i began having a strong metallic taste in my mouth.  i asked a nurse and she said she thought it was a side effect listed for coumadin.i looked up coumadin and there was nothing stated about this weird taste.  it is...,P
75,is 500mg of disulfiram (antibuse) way too much to be started off on? | yahoo answers | i've been taking antibuse for 2weeks now and jesus christ i sleep like an all day fragle rock episode. whats even scarier is the fact that i will be awake (or my eyes will be wide open) and i still cant move. i can hear everything going on around me and i still can't get up. my parents say i've been...,P
76,my mother needs her blood thinner whats the best thing to use? | yahoo answers | no-question,P
77,holistic approach to depression? | yahoo answers | does anyone know of any natural ways to treat depression?  i have tried so many different drugs......thanks!     karen!,P
78,"could responses or sensitivity to certain medications be shared by genetically related persons (description) ? | yahoo answers | my mom was treated for post-partum depression after i was born and given zoloft — her miracle drug, from what i hear. i've been on zoloft now for major depression for ~6 months after trying a few other meds that gave no positive results, but on zoloft there has been increasing noticeable improvement. in the...",P
79,what is coumadin with contrident used for? | yahoo answers | plesde tell me about coumadin with contrident,P
80,wafarin and joint pain? | yahoo answers | my 45 year old brother has been on warfarin since febuary for af. two weeks after commencing warfarin he started with severe hip pain and pain in his leg at the front and side. right leg). he had a cardioversion last friday and went back into sinus rythm on the first attempt. friday evening he was back in a/e with...,P
81,"how could i have contracted an e-coli infection? im taking bactrim? | yahoo answers | hi, i was at my obgyn recently for a checkup and he took a urine sample to check for a bladder or urinary tract infection. a few days later i was told i had an e-coli infection and was given a 10 day course of bactrim antibiotics. (im about 5 days in) any idea how one gets an e-coli infection? my only thought...",P
82,"welltabs advertised on television? | yahoo answers | has anyone taken them? i haven't read any realistic testimonies on google. what are the ingredients, risks, side-effects, positive results.........ect?  gimmi the deets :)",P
83,"i take 10mgs warfarin everyother day with odd days,7.5mgs? | yahoo answers | i may have not took my 10mgs wrote down i did..my wife said i had it out..but 1 in my daily pill container..my inr sunday was 3.5...if i didn't take it what would my inr drop to?? 3.5 is thin anyways..i just had a ivc filter put in my venous cava 2 weeks ago..and knee sugery was  past 27th..",P
84,"husband had heart surgery year ago is on warfarin for life, cant keep an erection ejaculates quickly ? | yahoo answers | no-question",P
85,what is diference between flomax and advodart? | yahoo answers | i am 56 and have been having trouble with irregular stream. which is better for me? no ins.,P
86,"medicine like digoxin,atenolol,warfarin,(fur… hci)safe during pregnancy for mvr heart petient? | yahoo answers | this question is for my wife she is taking these medicine since opration.now she is pregnant and still using these medicine now she need to know that is there any alternative options if any of these medicine is not good during pregnancy for her or her baby's health.she use to check pt-inr test after every month...",P
87,help with weird feelings? | yahoo answers | ive been having feelings all the time like im not all there. i feel like im watching my life happen through a 3rd person perspective. ive been having these feelings since i was diagnosted with blood clots in my lungs and started taking warfarin. i feel a almost dizzy feeling like im gonna pass out and i grab...,P
88,if i took some nattokinase will it clear my dvt and how long would it take? | yahoo answers | is there any side effects?,P
89,can you eat too much ginseng? | yahoo answers | is too much ginseng bad for your body?,P
90,"has your coumadin ever caused you to spit up blood? | yahoo answers | my inr went to 3.3 and i went to the er because i was spitting up a small amount of blood.   i have previous pe's and breast cancer.   an inr of 3.3 doesn't seem high enough to be causing this, does it?",P
91,will overdosing on blood thinners cause leg pain? | yahoo answers | no-question,P
92,"what does aspirin,heparin,and warfarin exactly do in management of our blood.. | yahoo answers | in consideration of bleeding and thrombosis...",P
93,"could ginkgo biloba be used as a comparable supplement for coumadin? | yahoo answers | i'm currently on coumadin (wafarin) from multiple pulmonary emboli in january and i really, really hate the fact that i have to use such an unnatural thing like coumadin, which is essentially rat poisoning. i try to live a fairly organic lifestyle and want to know if anyone has tried/knows if taking ginkgo...",P
94,"swelling on left side of neck below jaw causes? | yahoo answers | i have been battling a series of infections lately. the first was mild uti for which i was given 3 days worth of 250mg cipro antibiotic, then less than 2 weeks after that happened i had fever chills nausea and dark urine so i went to the hospital as it was a weekend and was told i had a kidney infection for which...",P
95,"i take warfarin for a valve replacement and other medicines to keep my heart in rythym, i cant sleep at night! | yahoo answers | no-question",P
96,"question about cranberry juice? | yahoo answers | whenever i buy some, which is usually 3 bottles per month, which contains 64 ounces, i tend to drink them all quickly. i drink about 4 cups a day, with at least 10-12 ounces per cup. i was just wondering if too much can actually do you bad? what does cranberry juice do for you?",P
97,what meds cause glaucoma? | yahoo answers | does anyone know if any of the following meds can cause glaucoma? prograf cellcept warfarin levothyroxin cozaar lisinopril ferrous sulfate procrit,P
98,if you take antibiotics and you get a real bad headache from it would you stop? | yahoo answers | the medicine is call erythromycin base 500,P
99,"my husband had a heart attack need some advise ? | yahoo answers | after his heart attack he has been put on metoprolol ,plavix, enalapril, simvastatin, warfarin. his attack happened 8 weeks ago and he has just started back to work 4 days ago. during the day he is so tired and exhausted and he can't sleep at night. now that he is back to work he is worried that it will effect...",P
100,"hey...can anyone help me here with my case study, im a med student and not too sure of this question...? | yahoo answers | patient is on a constant dose of warfarin, he's diagnosed with tb, and prescribed rifampicin at the same time as the warfarin. patient experiences gum bleeding. after six months of treatment the tb subsides, however 2 months later patient is diagnosed with pneumonia and receives a high dose of co-trimoxazole again...",P
101,"st. johns wart? | yahoo answers | i have been told to buy some st johns wart for my panic and anxiety attacks, are there any seriouse side affects? and for that use it, does it work? thanx x",P
102,there is a heridity gene that makes s protein in the blood if you? | yahoo answers | don't have it you have to take coumadine the rest of your life or you get blood clots.  is there any thing else you can take for that? since taking coumadine or warfarin all your life has side effects. what would be something natural you could do?,P
103,what medications interfere with my birth control? | yahoo answers | i use biotin and i take microgestin fe 1/20 birth control i was wondering if the biotin affects the birth control of if its fine. i know some medications make it less affective.  i also use raspberry ketone...help!?,P
104,"reaction to antibiotics? | yahoo answers | i stared taking the antibiotic tetracycline two days ago and i noticed about 1 hour after i had taken it the first time that i was feeling light headed, i could hardly feel my legs, my heart was beating twice the speed it usually does and i had trouble breathing. today i took it again and couldn't feel my legs,...",P
105,short term celebrex with coumadin? | yahoo answers | are there any severe side effects with taking celebrex for 2 weeks with coumadin?,P
106,stanozolol is it bad for a 16 year old? | yahoo answers | it says stanozolol has no androgenic effects so it shouldn't negativley effect me right?,P
107,i take cumidin and my hand are always freezing!? | yahoo answers | it makes me crazy. is there any relation? and if so can i do something about it? besides wearing gloves,P
108,"birth control mixed with other medications? | yahoo answers | i'm taking loestrin fe 1/20 oral, and wanted to find out what other medications, if taken in combination with this would decrease the effectiveness.  i know that antbiotics can decrease effectiveness, but does anyone know of any other drugs that may do the same?  i also take tramadol for back pain.",P
109,"how effective is doxycycline for acne? | yahoo answers | ok so i've been suffering from moderate acne and really oily skin since i was around 13. i'm now 18 and nothing has worked (only works short-term). i was on erythromycin for about 8 months and my skin really cleared up, but as soon as i got off, things went back to normal. my dermatologist then gave me...",P
110,"my son just took a slurp of his brothers antibiotic....? | yahoo answers | i had my infant sons antibiotic, solfamethoxazole out on the table, (i thought the child cap was on securly) and i turn for one second and my two year old had taken the cap off and looks like he took a slurp of it. is he going to be ok? i would think he would be fine but thought i would ask to make sure. im not...",P
111,"low inr, what should i do? | yahoo answers | two years ago, i developed a dvt with multiple pe. i was put on coumadin until i got pregnant, then i was switched to lovenox. one month ago i was switched back to coumadin following the birth of my son. i've been taking 10 mg every day for the past month. today my inr was 0.8. my coumadin has been increased...",P
112,i have been diagnosed with atrial fibrillation what can i expect? | yahoo answers | no-question,P
113,how many cups of ginger root can i drink daily? | yahoo answers | no-question,P
114,st. johns wort and libido? | yahoo answers | i have been taking st. johns wort for a two months. after about 3 weeks i really started to notice a difference.  i had less mood swings and stayed fairly pleasant.  a doctor then put me on spironolactone (about 3 weeks ago).  i have noticed that i am feeling the way i did before i started the st. johns wort and...,P
115,"any ideas of what to do? | yahoo answers | right, a bit complicated but long story short!after having my daughter - 6 months ago - 4 months ago i was diagnosed with p.e (clots on the lungs)so am on warfarin ( blood thinners) and injectionsi keep getting chest pains im not sure what it isi ask my doctor and he keeps saying im paranoid - can you blame...",P
116,"natural remedies for depression? | yahoo answers | i've been battling depression my whole life, and i can usually tolerate the symptoms without medication. i recently quit smoking (about a month ago), so my symptoms are getting a little unbearable. i was wondering if anyone knew of any natural or herbal remedies for depression. i can't take st. john's...",P
117,"can some one with medical experience help me? | yahoo answers | i have been having this pain in breast on the left side and it shouts up my neck i have been to the doctor and they checked my heart i had a ekg and it was normal .i have norplant in my left arm and its been there for awhile so could it be nerve damage maybe the norplant is sitting on a nerve ,i am really getetting...",P
118,will this interfere with my birth control pills? | yahoo answers | okay so i've been taking birth control pills for about 2 1/2 years now and they work great. about 5 months ago i switched from yasmin to ortho tri cyclen. now i have also started taking breast assure complex pills. which are a breast enhancment pills.now my question is will the breast assure interefere with my...,P
119,"what are some natural remedies for period cramps? | yahoo answers | i dont take pills, at all, and i want to know what some natural things i can eat are that will help with cramps. i know bananas help, but they dont always help me. i have also tried cinnamon tea... didnt work at all.... help!",P
120,"period cramps? | yahoo answers | hey i just got my period and i am first reallly moody, and second have horrible cramps that i had to leave school for. any ideas for the cramps?  i can't take ibuprofen because of this other medicine i take.",P
121,i have really bad cramps! <:c help!? | yahoo answers | i need natural remedies to help me! i have no midol!!! please help! im like crying here! <:'''c,P
122,how to get rid of cramps? | yahoo answers | i have takin midol  and that didnt help. so a half hour later i took two mortin and i tried a heating pad too but nothing is working. please help.,P
123,menstrual cramps? | yahoo answers | how to relieve the pain? i've never had them this bad since i first started my period 5 years ago. i cant walk it hurts so bad. any home remedies?,P
124,"i ate wolfberry fruit from china and had extreme diarrhea? | yahoo answers | is this common for wolfberry?  i heard it is a great anti oxidant but i had some of these seeds in my oatmeal yesterday and all i can say is wow, was i glad i had the day off.   not only did my stomach give me trouble for over 12 hours, i had very vivid dreams, not sure why but i am going through a period of very...",P
125,can i take any over the counter medicine for pain while im taking ciprofloxacin? | yahoo answers | no-question,P
126,bad menstraul cramps? | yahoo answers | im 18 and get the worst menstrual cramps ever i get nautious and other embarrasing things too i cant even get out of bed let alone to school and i dont eat for like the first two days is there a way to stop this,P
127,"green tea supplements? side affects..? | yahoo answers | i was looking into taking some of them but the bottle said that you should take if you have any of the following: anxiety, depression, or if you take birth control. i have/take all of the above. do you think that would honestly affect me? thanks!",P
128,is it ok to take methimazole tablet (10 mg) thrice a day and multivitamine for thyroid disorder ? | yahoo answers | what is the side effects of multivitamine? i have been asked to take for two months.,P
129,yaz and metformin interactions? | yahoo answers | my doctor put me on metformin because of weight issues and yaz for birth control and it keeps my face clear. she didn't say anything about any interactions but i'm still wondering if there is any chance the metformin can alter the effectiveness of the yaz.,P
130,does lisinopril 20 mg. cause bleeding or blood thining in your body? | yahoo answers | does lisinopril 20 mg. cause bleeding like blood shot eyes or nose bleeds by thinning your blood?,P
131,"sudden appearance of bruises? why and how to cure it? | yahoo answers | yesterday my dad was surprised to why i have a bruise near my elbow. i don't really know why, and i don't remember anything what could have caused it. then awhileago i feel pain near my appendix location, then later this night i saw a bruise. i was shocked and surprised, i don't know how it got there....",P
132,can i get a tattoo even though the doctors say no? | yahoo answers | im on warfin blood thinners and want to get a new tattoo but the doctors say not because of my blood thinners but because of infection could i not just take an antibodice before i got one and be safe?,P
133,"i was diagnosed with an avm, can i take ibuprofen for joint pain? | yahoo answers | my avm is approx the size of a large marble, left temporal area, seems to be affecting my balance, speech...has not bled and was seen on my mri. i'm lucky to have it found at this point. gamma knife is an option i'm considering. my neuro surgeon, one of the best in california, says it's okay for me to...",P
134,how to have a baby when your on coumadin? | yahoo answers | i want to get pregnant but my cardiologist says its not safe when i am on coumadin. i agree because of all the things it can do to an unborn child. but does anyone know what to do when your in this situation what do i do. i know lovinox is another option but not every review has been good. please let me know what...,P
